,会社情報,採用情報概要,雇用形態,仕事内容,対象となる方,勤務地,給与
0,株式会社ワット・コンサルティング | 大阪府緊急雇用対策に賛同★未経験向け研修カリキュラム期間No.1,未経験から手に職をつける【CAD事務】オフも大切にできる環境★ 正社員,正社員,【土日祝休み・残業少なめ】2ヶ月間の研修からスタート！“事務＋CADスキル”を学んで、街づくりを支えるお仕事です♪　★20代女性が活躍中！,【未経験歓迎・第二新卒歓迎】◆35歳以下の方 ★8割以上の先輩が未経験スタート ★給与を受け取りながら、充実の研修でスキルがつけられます！,宮城県、東京都、千葉県、埼玉県、神奈川県、茨城県、栃木県、群馬県、大阪府、愛知県で大募集！ 当社は…,"月給185,000〜230,000円＋住宅手当＋各種手当 ※経験・年齢を考慮の上、当社規定により優遇します。 ※住…"
1,株式会社ワット・コンサルティング | 大阪府緊急雇用対策に賛同★未経験向け研修カリキュラム期間No.1,日本を代表する建造物を手掛ける【街づくりコーディネーター】 正社員,正社員,【2ヶ月の研修からスタート】六本木ヒルズ・あべのハルカス・赤坂サカス・羽田空港・新国立競技場etc…アイコン施設を築いてきた実績豊富な会社！,【20代・30代活躍中／未経験歓迎】◆35歳以下の方 ★9割以上の先輩が未経験スタート ★毎月新入社員が入社。同期＆同世代の仲間と出会える♪,☆★全国募集！好きな街に配属！あなたの希望をお聞きします★☆ 北海道・東北・関東・東海・関西・中国…,"月給195,000〜240,000円＋住宅手当＋各種手当 ※経験・年齢を考慮の上、当社規定により優遇します。 ※住…"
2,Ｓｋｙ株式会社 | ＜社員定着率95％※2020年3月期＞,【自社パッケージ商品のプリセールス】 正社員,正社員,■『SKYSEA Client View』『SKYMENU』シリーズをはじめとする自社パッケージ商品の提案支援・導入サポート・アフターサポートなどをお任せします。,■「パッケージ導入／プリセールス／カスタマーサポート等の経験」または「ネットワーク・サーバの基礎知識」をお持ちの方（学歴不問）,東京、名古屋、仙台、福岡の各拠点 【勤務地】 ■東京(東京都港区港南2丁目16番1号　品川イースト…,"月給23万2千円以上（30歳以上で入社した場合：29万6千円以上） ※一律住宅手当15,000円を含みます。 なお…"
3,日本セーフティー株式会社 | 家賃保証サービスのリーディングカンパニー※年間休日127日！,業界大手で活躍！【提案営業】※未経験歓迎／土日祝休み 正社員,正社員,【ニーズ拡大中の自社サービスを提案する営業です】不動産会社やオーナー様に向け、自社の家賃保証サービスをご案内するお仕事です。,【未経験・第二新卒歓迎】◎高卒以上 ◎社会人経験・転職回数・男女不問！フリーターから社会人デビューを目指す方も歓迎！★20代・30代活躍中！,ご希望を考慮し、いずれかの事業所へ配属。 【本社】 ◆大阪／大阪市西区江戸堀 ◆東京／東京都港区芝…,【総合職】 ◆月給23万円〜25万円（一律業務手当含む）+インセンティブ ※上記金額には、固定残業代30時…
4,DSP株式会社 | ★土日休み ★完全週休2日 ★年間休日125日～130日,◆経験者は前給UPを保証！【人材コーディネーター】※高卒以上 正社員,正社員,【裁量大きく、自由度高く活躍！】人材コーディネーターとして新規クライアントの拡大と登録スタッフ増員をお任せしていきます。,【人材業界経験をお持ちの方をとことん優遇！】※求人広告営業、人材派遣、人材紹介、人材コンサルティング等の経験をお持ちの方は優遇いたします。,【東京・大阪・北海道・宮城・福岡のいずれかで勤務】 ★転勤なし！ 【本社】 東京都港区西新橋1-6…,"月給／30万円〜 ＋ インセンティブ ★""前職の給与以上""を保証します。 　そこに経験・能力等を考慮し加給…"
5,株式会社ライジングサンセキュリティーサービス | 人物重視★応募者全員と面接します！／20～60代活躍中★,福島限定【警備】人の力で東北エリアを盛り上げよう！*月給28万~ 正社員,正社員,【福島県内主要駅周辺オフィスビル、商業施設、金融機関等の警備】★無理のないシフト★資格取得支援あり★成果は報酬に還元★バス・トイレ付の寮完備,【未経験者歓迎／年齢を気にせず応募可能／学歴・年齢不問】★担当施設へ直行直帰もOK！★人柄・意欲重視の採用！応募者全員とお会いします！,★福島エリアの各施設または下記支社★ ※転居を伴う、転勤はありません！ ※希望を考慮の上、配属を決…,月給28万円以上 ※時間外手当は別途支給 ※上記はあくまでも最低補償額。勤務地によって異なります。 ■…
6,株式会社コプロ・エンジニアード | 東証・名証一部上場のコプロ・ホールディングスグループ,全国47都道府県で採用！【設計アシスタント】★転勤なし 正社員,正社員,高級マンション/ランドマーク/重要文化財のお城…など街を象徴する建物～道路・プラント等の図面作成や設計を行います！,【CADスキルを存分に発揮！】★学歴不問★CADの基本的な操作スキルがある方 ◎ブランクがある方・第二新卒歓迎 ▼▼Web面接実施中▼▼,【転勤なし！希望の勤務地で働けます！】 47都道府県の好きな街が勤務地です。 <各拠点> ◆札幌支…,月給19万6000円以上+地域手当(最大5万1000円)+皆勤手当(1万円) ※上記給与は最低支給額です。 　前職給…
7,アマゾンジャパン合同会社 | 〔月給25万円以上〕〔転勤なし〕〔想像以上に？面白い？仕事〕,Amazonの安全性を守る【リスク調査官】※仙台勤務・経験一切不問 正社員,正社員,【まるで探偵のような仕事!?】Amazonをお客様に安心してご利用頂くために、一部の利用者による不正行為や迷惑行為の調査・取締を行う仕事です。,【異業種の方も歓迎！】☆TOEIC650点程度の英語力があれば尚良し！★U・Iターンもお待ちしています ★私服勤務OK,【転勤なし】宮城県仙台市（JR線「仙台駅」より徒歩約9分） UIターンも歓迎！ ＜住所＞ 宮城県仙…,月給25万円〜35万円 ※経験・能力・前職の給与等を考慮し優遇 ※残業代別途支給 ※試用期間3カ月／待…
8,株式会社グラスト | ★土日祝休み ★年間休日124日 ★20代男性活躍中,【キャリアコンサルタント】★未経験歓迎 ★管理職の70%が20代 正社員,正社員,【研修充実／早期キャリアUP】◆人材不足にお悩みの企業様を訪問し、ヒアリング。課題を確認し、企業様ごとに最適な解決方法を提案します。,【未経験・第二新卒歓迎／学歴不問】＜こんな方は大歓迎！＞★人材業界に興味がある方 ★キャリアアップ志向がある方 ★『人と話す』ことが好きな方,※転勤なし/希望を考慮 ※北海道/仙台/東京/横浜/大阪/難波/天神/宮崎/那覇の各拠点 ★東京・…,月給25万円〜50万円 ※あなたの年齢・経験・能力を考慮のうえ、優遇いたします。(エリアにより規定あり）…
9,株式会社ネクストビート | 『保育士バンク！』など自社メディアを運営／地方拠点を積極採用,“IT×社会課題解決”を目指す！【提案営業職】◆月給30万円～ 正社員,正社員,《反響スタイルで法人・個人の双方へアプローチ》ライフイベント・地方創生・グローバルの領域で、課題解決のための幅広い提案営業をお任せします。,《第二新卒・営業未経験歓迎／人柄・意欲重視の採用》◆大卒以上　☆成果を正当に評価＆好環境で裁量大きく活躍できます！,東京・札幌・仙台・名古屋・大阪・京都・広島・福岡・石川で大募集！ ☆引っ越し代全額負担 ☆UIター…,"★月給30万円以上 ※経験や能力を考慮し、決定致します。 ※上記には固定残業代（月40時間分／71,430円…"
